Congruent,Incongruent,,,,,,,,,,,,,,,
12.079,19.278,,mean,,mode,,median,,E[X]^2,,E[X^2],,Var[X],,sqrt(Var[X]),
16.791,18.741,,14.051125,22.01591667,#N/A,#N/A,14.3565,21.0175,197.4341138,484.7005867,209.5752666,506.7535205,12.14115286,22.05293383,3.484415713,4.696055135
9.564,21.214,,,,,,,,,,,,,,,
8.63,15.687,,,,,,,,,,,,,,,
14.669,22.803,,,,,,,,,,,,,,,
12.238,20.878,,,,,,,,,,,,,,,
14.692,24.572,,,,,,,,,,,,,,,
8.987,17.394,,,,,,,,,,,,,,,
9.401,20.762,,,,,,,,,,,,,,,
14.48,26.282,,,,,,,,,,,,,,,
22.328,24.524,,,,,,,,,,,,,,,
15.298,18.644,,,,,,,,,,,,,,,
15.073,17.51,,,,,,,,,,,,,,,
16.929,20.33,,,,,,,,,,,,,,,
18.2,35.255,,,,,,,,,,,,,,,
12.13,22.158,,,,,,,,,,,,,,,
18.495,25.139,,,,,,,,,,,,,,,
10.639,20.429,,,,,,,,,,,,,,,
11.344,17.425,,,,,,,,,,,,,,,
12.369,34.288,,,,,,,,,,,,,,,
12.944,23.894,,,,,,,,,,,,,,,
14.233,17.96,,,,,,,,,,,,,,,
19.71,22.058,,,,,,,,,,,,,,,
16.004,21.157,,,,,,,,,,,,,,,
